LastUpdateDT,CALENDAR_DAY,CALENDAR_DAY_STRING,REGION_SRC,TIMEKEEPER_ID,GENDER,PRACTICE_GROUP_CODE,OFFICE_CODE,TEAM_CODE,EMP_GROUP_CODE,EMP_SUB_GROUP_CODE,BAND_GROUP_CODE,BAND_LEVEL_CODE,FTE,EMPLOYMENT_STATUS_CODE,EMPLOYMENT_STATUS_DESC,WORKDAY_FLAG,WEEKEND_FLAG,HOLIDAY_FLAG,CAL_YEAR,CAL_PERIOD,TARGET_HOURS,BILLABLE_HOURS,NON_BILLABLE_HOURS,PRO_BONO_HOURS,FIRM_RELATED_HOURS,LEAVE_HOURS,PART_TIME_HOURS
30/03/2026,18/02/2026,20260218,NRFC,145989,M,EL,TOR1,2000,F,FF,PA,P1,1,3,Active,1,0,0,2026,202602,7,8.7,0,0,0,0,0
30/03/2026,18/02/2026,20260218,NRFC,145997,F,OS,TOR1,4752,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142698,M,MX,TOR1,4501,B,BM,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142819,M,IP,MTR2,2253,A,AB,AS,A4,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142833,F,OS,CAL1,4752,B,BN,,,0,1,Inactive,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142917,M,IT,MTR1,4052,B,BT,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,143055,M,FN,TOR1,3750,B,BM,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142003,F,TX,TOR1,2750,L,LA,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142092,M,IP,TOR1,2253,R,RA,AG,G4,1,3,Active,1,0,0,2026,202602,7,6.2,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142120,M,OS,QUE1,4752,B,BN,,,1,3,Active,1,0,0,2026,202602,7,0,0,0,0,0,0
