Id,ClientId,TotalWIP,LastWIPDate,TotalAR,LastBillDate,TrustFundsBalance,UnallocatedFundsBalance,RetainerFundsBalance,ClientCurrency,Processed,ProcessTimeStamp,LoadTimeStamp
60286,10000207,5532.37,2025-11-11 0:00,9764.22,2025-11-04 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60287,10000209,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60288,10000210,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60289,10000211,564.96,2025-11-07 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60290,10000212,16363.12,2025-11-10 0:00,8873.86,2025-10-28 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60291,10000213,15012.31,2025-11-10 0:00,41990.96,2025-10-17 0:00,-10.68,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60292,10000215,12427.81,2025-11-07 0:00,165950.51,2025-11-07 0:00,20583.67,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60293,10000217,5560.68,2025-11-04 0:00,2991.44,2025-04-22 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60294,10000219,0,NULL,0,NULL,20604.18,0,0,USD,1,2025-11-08 6:31,2025-11-08 6:16
60295,10000220,0,NULL,4162.48,2025-11-11 0:00,0,0,0,USD,1,2025-11-12 6:30,2025-11-12 6:16
60296,10000221,139528.67,2025-11-12 0:00,465607.59,2025-11-11 0:00,22935.54,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60297,10000222,34173.14,2025-11-11 0:00,18104.09,2025-06-13 0:00,36940.44,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60298,10000223,2780.32,2025-09-29 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60299,10000225,2816.74,2025-11-04 0:00,12805.74,2025-10-20 0:00,7103.54,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60300,10000227,0,NULL,0,NULL,-1792.12,0,0,USD,1,2025-09-18 7:30,2025-09-17 20:15
60301,10000229,13477.31,2024-11-07 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60302,10000230,306.23,2025-10-27 0:00,410.77,2025-10-06 0:00,-1334.71,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60303,10000231,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60304,10000232,0,NULL,0,NULL,29.09,0,0,USD,1,2021-08-19 6:31,2021-08-18 6:05
60305,10000233,617.1,2025-09-19 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60306,10000235,1064.31,2025-11-07 0:00,14358.73,2025-10-20 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60307,10000237,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60308,10000239,0,NULL,0,NULL,0,0,0,USD,1,2019-12-07 6:30,2019-12-07 6:16
60309,10000240,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60310,10000241,0,NULL,0,NULL,0,0,0,USD,1,2023-09-03 6:30,2023-09-02 6:05
60311,10000242,0,NULL,0,NULL,6649.83,0,0,USD,1,2019-12-27 6:30,2019-12-26 16:03
60312,10000243,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60313,10000245,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60314,10000247,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60315,10000249,1494.74,2025-11-10 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60316,10000250,237.35,2025-11-10 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60317,10000251,0,NULL,0,NULL,0,0,0,USD,1,2025-06-03 7:30,2025-06-03 6:16
60318,10000252,130.17,2018-07-06 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60319,10000253,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60320,10000255,458,2025-11-04 0:00,219,2025-09-04 0:00,0,0,0,USD,1,2025-11-05 6:53,2025-11-05 6:16
60321,10000257,0,NULL,0,NULL,0,0,0,USD,1,2020-05-28 6:30,2020-05-27 6:15
60322,10000259,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60323,10000260,0,NULL,0,NULL,0,0,0,USD,1,2023-10-06 6:30,2023-10-05 6:16
60324,10000261,2741.79,2025-11-10 0:00,10370.35,2025-10-30 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60325,10000262,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60326,10000263,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60327,10000265,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60328,10000267,0,NULL,0,NULL,0,0,0,USD,1,2023-06-17 6:30,2023-06-16 6:05
60329,10000269,0,NULL,0,NULL,0,0,0,USD,1,2025-01-17 6:30,2025-01-17 6:15
60330,10000270,0,NULL,0,NULL,0,0,0,USD,1,2025-04-13 7:30,2025-04-12 14:33
60331,10000271,217,2025-09-09 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60332,10000272,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60333,10000273,0,NULL,0,NULL,0,0,0,USD,1,2025-09-19 7:30,2025-09-19 6:16
60334,10000275,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60335,10000277,0,NULL,0,NULL,0,0,0,USD,1,2024-07-26 7:37,2024-07-26 6:16
60336,10000279,0,NULL,0,NULL,0,0,0,USD,1,2024-03-20 6:30,2024-03-20 6:16
60337,10000280,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60338,10000281,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60339,10000282,0,NULL,0,NULL,0,0,0,USD,1,2025-04-02 7:30,2025-04-02 6:16
60340,10000283,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60341,10000285,0,NULL,0,NULL,0,0,0,USD,1,2025-09-22 7:30,2025-09-22 6:16
60342,10000287,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60343,10000289,0,NULL,1077.93,2025-11-11 0:00,0,0,0,USD,1,2025-11-12 6:30,2025-11-12 6:16
60344,10000290,7471.49,2025-11-06 0:00,19381.73,2025-09-11 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60345,10000291,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60346,10000292,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60347,10000293,24577.69,2025-11-10 0:00,29197.09,2025-10-28 0:00,-33.11,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60348,10000295,58892.21,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60349,10000297,0,NULL,0,NULL,0,0,0,USD,1,2021-02-10 6:30,2021-02-10 6:15
60350,10000299,141083.08,2025-11-11 0:00,114826.76,2025-10-29 0:00,-7755.27,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60351,10000300,167.03,2025-10-09 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60352,10000301,0,NULL,0,NULL,0,0,0,USD,1,2023-11-12 6:30,2023-11-11 17:15
60353,10000302,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60354,10000303,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60355,10000305,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60356,10000307,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60357,10000309,25368.87,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60358,10000310,1343071.78,2025-11-12 0:00,41020.7,2025-11-12 0:00,8599.31,774.2,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60359,10000311,0,NULL,0,NULL,0,0,0,USD,1,2021-07-04 6:30,2021-07-03 6:05
60360,10000312,364.05,2025-10-08 0:00,10131.52,2025-10-14 0:00,-177.83,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60361,10000313,0,NULL,0,NULL,0,0,0,USD,1,2025-01-17 6:30,2025-01-17 6:15
60362,10000315,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60363,10000317,627.09,2025-10-03 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60364,10000319,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60365,10000320,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60366,10000321,2802.61,2025-11-11 0:00,0,NULL,20.56,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60367,10000322,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60368,10000323,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60369,10000325,2591.28,2025-10-31 0:00,919.34,2025-10-27 0:00,0,246.63,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60370,10000327,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60371,10000329,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
