Id,MatterId,TotalWIP,LastWIPDate,TotalAR,LastBillDate,TrustFundsBalance,UnallocatedFundsBalance,RetainerFundsBalance,MatterCurrency,Processed,ProcessTimeStamp,LoadTimeStamp
1223229,1001368353,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:06,2025-11-13 6:15
1223228,1001368372,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:43,2025-11-13 6:15
1223227,1001368359,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:31,2025-11-13 6:15
1223226,1001368401,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:31,2025-11-13 6:15
1223225,1001368341,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:31,2025-11-13 6:15
1223224,1001368370,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:06,2025-11-13 6:15
1223223,1001368399,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:40,2025-11-13 6:15
1223222,1001368402,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:06,2025-11-13 6:15
1223221,1001368348,51.4,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:05,2025-11-13 6:15
1223220,1001368339,499.68,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:38,2025-11-13 6:15
1223219,1001368386,359.77,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:05,2025-11-13 6:15
1223218,1001368344,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:41,2025-11-13 6:15
1223217,1001368396,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:58,2025-11-13 6:15
1223216,1001368355,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:40,2025-11-13 6:15
1223215,1001368371,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:58,2025-11-13 6:15
1223214,1001368356,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:41,2025-11-13 6:15
1223213,1001368373,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:08,2025-11-13 6:15
1223212,1001368347,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:58,2025-11-13 6:15
1223211,1001368331,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-12 16:00
1223210,1001368324,8495,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223209,1001368316,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-12 16:00
1223208,1001368314,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:42,2025-11-12 16:00
1223207,1001368304,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-12 16:00
1223206,1001368301,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:42,2025-11-12 16:00
1223205,1001368322,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-12 16:00
